change,term,cabinet
-37,climate change,non-cabinet
-11,climate change,non-cabinet
-9,climate change,non-cabinet
-9,climate change,non-cabinet
-8,climate change,non-cabinet
-7,climate change,non-cabinet
-7,climate change,non-cabinet
-7,climate change,non-cabinet
-7,climate change,non-cabinet
-6,climate change,non-cabinet
-6,climate change,non-cabinet
-6,climate change,non-cabinet
-5,climate change,non-cabinet
-5,climate change,non-cabinet
-5,climate change,non-cabinet
-5,climate change,non-cabinet
-5,climate change,non-cabinet
-5,climate change,non-cabinet
-5,climate change,non-cabinet
-5,climate change,non-cabinet
-5,climate change,non-cabinet
-5,climate change,non-cabinet
-5,climate change,non-cabinet
-5,climate change,non-cabinet
-4,climate change,non-cabinet
-4,climate change,non-cabinet
-4,climate change,non-cabinet
-4,climate change,non-cabinet
-4,climate change,non-cabinet
-4,climate change,non-cabinet
-4,climate change,non-cabinet
-4,climate change,non-cabinet
-4,climate change,non-cabinet
-4,climate change,non-cabinet
-4,climate change,non-cabinet
-4,climate change,non-cabinet
-4,climate change,non-cabinet
-4,climate change,non-cabinet
-4,climate change,non-cabinet
-4,climate change,non-cabinet
-4,climate change,non-cabinet
-4,climate change,non-cabinet
-4,climate change,non-cabinet
-4,climate change,non-cabinet
-4,climate change,non-cabinet
-4,climate change,non-cabinet
-4,climate change,non-cabinet
-4,climate change,non-cabinet
-4,climate change,non-cabinet
-4,climate change,non-cabinet
-4,climate change,non-cabinet
-4,climate change,non-cabinet
-4,climate change,non-cabinet
-4,climate change,non-cabinet
-4,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
-3,climate change,non-cabinet
